symbol,year_id,fiscal_year,year_label,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,cash_conversion_ratio
ABB,4,2012,Dec 2012,101.0,-59.0,-42.0,1.0,42.0,0.696551724137931
ABB,8,2014,Mar 2014,0.0,0.0,0.0,0.0,0.0,0.0
ABB,12,2015,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,-0.15283842794759825
ABB,16,2016,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,6.0549019607843135
ABB,19,2017,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,7.902527075812275
ABB,22,2018,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,5.4812967581047385
ABB,25,2019,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,5.757777777777778
ABB,28,2020,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,9.168634064080944
ABB,31,2021,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,5.476121562952243
ABB,34,2022,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,5.127659574468085
ABB,37,2023,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,3.9799789251844047
ABB,40,2024,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,5.027477102414655
ADANIENSOL,8,2014,Mar 2014,0.0,0.0,0.0,0.0,0.0,
ADANIENSOL,12,2015,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,5.0
ADANIENSOL,16,2016,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,4.195652173913044
ADANIENSOL,19,2017,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,5.262019230769231
ADANIENSOL,22,2018,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,1.9230096237970253
ADANIENSOL,25,2019,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,4.635062611806798
ADANIENSOL,28,2020,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,7.701133144475921
ADANIENSOL,31,2021,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,2.933333333333333
ADANIENSOL,34,2022,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,3.3147249190938513
ADANIENSOL,37,2023,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,2.9484777517564402
ADANIENSOL,40,2024,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,5.048494983277592
ADANIENT,5,2013,Mar 2013,7666.0,-14790.0,7199.0,75.0,-7124.0,6.293924466338259
ADANIENT,8,2014,Mar 2014,8228.0,-8007.0,-1109.0,-888.0,221.0,3.109599395313681
ADANIENT,12,2015,Mar 2015,8532.0,-11465.0,3445.0,512.0,-2933.0,3.7127937336814623
ADANIENT,16,2016,Mar 2016,5112.0,-1825.0,-3448.0,-161.0,3287.0,5.112
ADANIENT,19,2017,Mar 2017,774.0,-1460.0,716.0,30.0,-686.0,0.8367567567567568
ADANIENT,22,2018,Mar 2018,2942.0,-7649.0,5120.0,413.0,-4707.0,4.952861952861953
ADANIENT,25,2019,Mar 2019,3236.0,2487.0,-6158.0,-436.0,5723.0,6.395256916996048
ADANIENT,28,2020,Mar 2020,2454.0,-1082.0,-221.0,1151.0,1372.0,2.3596153846153847
ADANIENT,31,2021,Mar 2021,4043.0,-8611.0,3109.0,-1459.0,-4568.0,3.8652007648183555
ADANIENT,34,2022,Mar 2022,1385.0,-17041.0,15901.0,246.0,-15656.0,1.7576142131979695
ADANIENT,37,2023,Mar 2023,17626.0,-15459.0,-1198.0,970.0,2167.0,7.277456647398844
ADANIENT,40,2024,Mar 2024,10312.0,-18767.0,8879.0,424.0,-8455.0,3.0920539730134933
ADANIGREEN,19,2017,Mar 2017,28.0,-1511.0,1559.0,76.0,-1483.0,-0.5957446808510638
ADANIGREEN,22,2018,Mar 2018,649.0,-4428.0,3942.0,162.0,-3779.0,-4.702898550724638
ADANIGREEN,25,2019,Mar 2019,1625.0,-2666.0,1045.0,3.0,-1041.0,-3.4210526315789473
ADANIGREEN,28,2020,Mar 2020,1965.0,-3743.0,2161.0,383.0,-1778.0,-28.897058823529413
ADANIGREEN,31,2021,Mar 2021,1601.0,-9137.0,7083.0,-453.0,-7536.0,8.796703296703297
ADANIGREEN,34,2022,Mar 2022,3127.0,-18730.0,15986.0,383.0,-15603.0,6.394683026584867
ADANIGREEN,37,2023,Mar 2023,7265.0,-3857.0,-2973.0,435.0,3408.0,7.466598150051388
ADANIGREEN,40,2024,Mar 2024,7713.0,-21060.0,13953.0,606.0,-13347.0,6.121428571428571
ADANIPORTS,5,2013,Mar 2013,1379.0,-5136.0,4138.0,381.0,-3757.0,0.8413666870042709
ADANIPORTS,8,2014,Mar 2014,1132.0,-2510.0,772.0,-606.0,-1378.0,0.6502010338885698
ADANIPORTS,12,2015,Mar 2015,3057.0,-2485.0,-237.0,335.0,572.0,1.3154044750430292
ADANIPORTS,16,2016,Mar 2016,2381.0,-4153.0,2170.0,398.0,-1772.0,0.8336834733893558
ADANIPORTS,19,2017,Mar 2017,4063.0,-2629.0,-1325.0,109.0,1434.0,1.0412608918503332
ADANIPORTS,22,2018,Mar 2018,5608.0,-3846.0,-1889.0,-127.0,1762.0,1.5197831978319782
ADANIPORTS,25,2019,Mar 2019,6029.0,-4368.0,2313.0,3975.0,1661.0,1.4904820766378244
ADANIPORTS,28,2020,Mar 2020,7402.0,-749.0,-4256.0,2397.0,6653.0,1.9556142668428005
ADANIPORTS,31,2021,Mar 2021,7556.0,-14064.0,3514.0,-2994.0,-6508.0,1.4965339671222024
ADANIPORTS,34,2022,Mar 2022,10420.0,-5493.0,-586.0,4341.0,4927.0,2.103775489602261
ADANIPORTS,37,2023,Mar 2023,11900.0,-16716.0,-2734.0,-7550.0,-4816.0,2.2073826748284175
ADANIPORTS,40,2024,Mar 2024,15018.0,-6768.0,-7800.0,450.0,8250.0,1.8531589338598222
ADANIPOWER,5,2013,Mar 2013,3001.0,-4064.0,861.0,-203.0,-1063.0,-1.3076252723311548
ADANIPOWER,8,2014,Mar 2014,3238.0,-4700.0,1631.0,169.0,-1462.0,-11.127147766323024
ADANIPOWER,12,2015,Mar 2015,5824.0,-4737.0,-1144.0,-58.0,1087.0,-7.137254901960785
ADANIPOWER,16,2016,Mar 2016,5257.0,-2692.0,-2713.0,-148.0,2565.0,9.540834845735027
ADANIPOWER,19,2017,Mar 2017,4725.0,-1212.0,-3539.0,-26.0,3513.0,-0.7653061224489796
ADANIPOWER,22,2018,Mar 2018,5101.0,-520.0,-4600.0,-19.0,4581.0,-2.425582501188778
ADANIPOWER,25,2019,Mar 2019,5610.0,-984.0,-4663.0,-37.0,4626.0,-5.701219512195122
ADANIPOWER,28,2020,Mar 2020,5598.0,-2304.0,-2377.0,917.0,3294.0,-2.4606593406593404
ADANIPOWER,31,2021,Mar 2021,7014.0,-2188.0,-5655.0,-828.0,4826.0,5.522834645669291
ADANIPOWER,34,2022,Mar 2022,10233.0,774.0,-10338.0,669.0,11007.0,2.0832654723127035
ADANIPOWER,37,2023,Mar 2023,8431.0,1545.0,-10408.0,-433.0,9976.0,0.7859606600167801
ADANIPOWER,40,2024,Mar 2024,14170.0,3481.0,-16864.0,787.0,17651.0,0.6803015027125642
AMBUJACEM,4,2012,Dec 2012,1860.0,-388.0,-509.0,962.0,1472.0,1.4396284829721362
AMBUJACEM,7,2013,Dec 2013,1267.0,-496.0,-672.0,99.0,771.0,0.9913928012519562
AMBUJACEM,11,2014,Dec 2014,1675.0,-456.0,-721.0,498.0,1219.0,1.1264290517821116
AMBUJACEM,15,2015,Dec 2015,1557.0,-83.0,-900.0,574.0,1474.0,1.926980198019802
AMBUJACEM,18,2016,Dec 2016,2810.0,-4165.0,-958.0,-2312.0,-1355.0,1.9595536959553697
AMBUJACEM,21,2017,Dec 2017,3416.0,-738.0,-1015.0,1663.0,2678.0,1.7562982005141388
AMBUJACEM,24,2018,Dec 2018,1703.0,-765.0,-719.0,220.0,938.0,0.5728220652539522
AMBUJACEM,27,2019,Dec 2019,4739.0,-1191.0,-629.0,2919.0,3548.0,1.7028386633129715
AMBUJACEM,30,2020,Dec 2020,4832.0,-1317.0,-3956.0,-441.0,3515.0,1.5551979401351785
AMBUJACEM,33,2021,Dec 2021,5309.0,-2007.0,-516.0,2786.0,3302.0,1.4306116949609269
AMBUJACEM,37,2023,Mar 2023,735.0,-14481.0,2931.0,-10815.0,-13746.0,0.24305555555555555
AMBUJACEM,40,2024,Mar 2024,5646.0,-8941.0,5689.0,2394.0,-3295.0,1.1916420430561419
APOLLOHOSP,5,2013,Mar 2013,443.0,-733.0,373.0,83.0,-290.0,1.462046204620462
APOLLOHOSP,8,2014,Mar 2014,373.0,-356.0,-63.0,-46.0,17.0,1.1841269841269841
APOLLOHOSP,12,2015,Mar 2015,470.0,-759.0,392.0,103.0,-289.0,1.4029850746268657
APOLLOHOSP,16,2016,Mar 2016,597.0,-888.0,330.0,39.0,-291.0,2.5404255319148934
APOLLOHOSP,19,2017,Mar 2017,623.0,-1152.0,477.0,-52.0,-529.0,4.755725190839694
APOLLOHOSP,22,2018,Mar 2018,537.0,-405.0,-108.0,24.0,132.0,8.95
APOLLOHOSP,25,2019,Mar 2019,905.0,-711.0,-215.0,-20.0,194.0,4.525
APOLLOHOSP,28,2020,Mar 2020,1293.0,-289.0,-910.0,94.0,1004.0,2.9930555555555554
APOLLOHOSP,31,2021,Mar 2021,1265.0,-880.0,-340.0,44.0,385.0,9.233576642335766
