symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
ABB,2026-05-26 03:35:11.145405+00:00,47.63,48.253755828008984,3.1746031746031744,99.88538284687306,67.47390900924894,48.333333333333336,0.0,WEAK
ABB,2026-05-26 03:35:06,47.63,48.25375582800898,3.1746031746031744,99.88538284687306,67.47390900924894,48.333333333333336,0.0,WEAK
ADANIENSOL,2026-05-26 03:35:11.145405+00:00,43.13,48.25915213261958,3.1746031746031744,87.49682713588741,67.47392286755861,28.055555555555557,0.0,WEAK
ADANIENSOL,2026-05-26 03:35:06,43.13,48.25915213261958,3.1746031746031744,87.49682713588741,67.47392286755861,28.05555555555556,0.0,WEAK
ADANIENT,2026-05-26 03:35:11.145405+00:00,42.23,48.239725436021416,3.1746031746031744,87.0879945578903,61.175763167835186,29.444444444444446,0.0,WEAK
ADANIENT,2026-05-26 03:35:06,42.23,48.239725436021416,3.1746031746031744,87.0879945578903,61.17576316783519,29.444444444444446,0.0,WEAK
ADANIGREEN,2026-05-26 03:35:11.145405+00:00,35.63,48.312035917803485,3.1746031746031744,57.11591882396213,57.95218086234686,28.055555555555557,0.0,WEAK
ADANIGREEN,2026-05-26 03:35:06,35.63,48.312035917803485,3.1746031746031744,57.11591882396213,57.95218086234686,28.05555555555556,0.0,WEAK
ADANIPORTS,2026-05-26 03:35:11.145405+00:00,45.6,48.289371438438955,3.1746031746031744,94.06100467529035,72.18952308966595,32.5,0.0,WEAK
ADANIPORTS,2026-05-26 03:35:06,45.6,48.28937143843896,3.1746031746031744,94.06100467529036,72.18952308966595,32.5,0.0,WEAK
ADANIPOWER,2026-05-26 03:35:11.145405+00:00,46.36,48.26562769815231,3.1746031746031744,95.46755859270962,78.38737510661171,28.055555555555557,0.0,WEAK
ADANIPOWER,2026-05-26 03:35:06,46.36,48.26562769815231,3.1746031746031744,95.46755859270962,78.38737510661171,28.05555555555556,0.0,WEAK
AMBUJACEM,2026-05-26 03:35:11.145405+00:00,45.5,48.24728026247625,3.1746031746031744,99.8959892640647,64.57679783056307,31.38888888888889,0.0,WEAK
AMBUJACEM,2026-05-26 03:35:06,45.5,48.24728026247625,3.1746031746031744,99.8959892640647,64.57679783056307,31.38888888888889,0.0,WEAK
APOLLOHOSP,2026-05-26 03:35:11.145405+00:00,44.95,48.240804696943535,3.1746031746031744,93.39045387571632,67.00248512155572,35.27777777777778,0.0,WEAK
APOLLOHOSP,2026-05-26 03:35:06,44.95,48.240804696943535,3.1746031746031744,93.39045387571632,67.00248512155572,35.27777777777778,0.0,WEAK
ASIANPAINT,2026-05-26 03:35:11.145405+00:00,47.29,48.249438784320496,3.1746031746031744,99.0610902478746,69.09399847819832,44.166666666666664,0.0,WEAK
ASIANPAINT,2026-05-26 03:35:06,47.29,48.249438784320496,3.1746031746031744,99.0610902478746,69.09399847819832,44.16666666666666,0.0,WEAK
ATGL,2026-05-26 03:35:11.145405+00:00,45.15,48.253755828008984,3.1746031746031744,97.4942592968334,66.88338933559812,29.166666666666668,0.0,WEAK
ATGL,2026-05-26 03:35:06,45.15,48.25375582800898,3.1746031746031744,97.4942592968334,66.88338933559812,29.166666666666668,0.0,WEAK
AXISBANK,2026-05-26 03:35:11.145405+00:00,36.23,61.12610084614056,3.1746031746031744,44.51543858118473,57.15083339656773,28.333333333333332,0.0,WEAK
AXISBANK,2026-05-26 03:35:06,36.23,61.12610084614056,3.1746031746031744,44.515438581184725,57.15083339656773,28.33333333333333,0.0,WEAK
BAJAJ-AUTO,2026-05-26 03:35:11.145405+00:00,46.73,48.24835952339838,3.1746031746031744,98.86121302879421,71.02575451846799,36.11111111111111,0.0,WEAK
BAJAJ-AUTO,2026-05-26 03:35:06,46.73,48.24835952339838,3.1746031746031744,98.8612130287942,71.02575451846799,36.11111111111111,0.0,WEAK
BAJAJFINSV,2026-05-26 03:35:11.145405+00:00,31.42,48.266706959074426,3.1746031746031744,68.62868337570983,14.238371775415606,28.61111111111111,0.0,POOR
BAJAJFINSV,2026-05-26 03:35:06,31.42,48.266706959074426,3.1746031746031744,68.62868337570983,14.238371775415606,28.61111111111111,0.0,POOR
BAJAJHLDNG,2026-05-26 03:35:11.145405+00:00,46.23,48.32606630979105,3.1746031746031744,99.99471561973947,67.71736779481255,33.611111111111114,0.0,WEAK
BAJAJHLDNG,2026-05-26 03:35:06,46.23,48.32606630979105,3.1746031746031744,99.99471561973948,67.71736779481255,33.611111111111114,0.0,WEAK
BAJFINANCE,2026-05-26 03:35:11.145405+00:00,38.39,69.79796235537904,3.1746031746031744,74.8772729896063,14.042126135514396,32.22222222222222,0.0,WEAK
BAJFINANCE,2026-05-26 03:35:06,38.39,69.79796235537904,3.1746031746031744,74.8772729896063,14.042126135514396,32.22222222222222,0.0,WEAK
BANKBARODA,2026-05-26 03:35:11.145405+00:00,30.12,52.65390260749439,3.1746031746031744,18.319931850271047,61.764290001961186,33.88888888888889,0.0,POOR
BANKBARODA,2026-05-26 03:35:06,30.12,52.65390260749439,3.1746031746031744,18.31993185027104,61.76429000196119,33.88888888888889,0.0,POOR
BEL,2026-05-26 03:35:11.145405+00:00,45.35,48.253755828008984,3.1746031746031744,94.23475719771474,65.91527990088466,39.166666666666664,0.0,WEAK
BEL,2026-05-26 03:35:06,45.35,48.25375582800898,3.1746031746031744,94.23475719771474,65.91527990088466,39.16666666666666,0.0,WEAK
BHARTIARTL,2026-05-26 03:35:11.145405+00:00,46.51,48.28289587290623,3.1746031746031744,82.58266476059244,85.0907647247703,45.27777777777778,0.0,WEAK
BHARTIARTL,2026-05-26 03:35:06,46.51,48.28289587290623,3.1746031746031744,82.58266476059244,85.0907647247703,45.27777777777778,0.0,WEAK
BHEL,2026-05-26 03:35:11.145405+00:00,45.63,48.23001208772233,3.1746031746031744,97.46287068270853,65.1693244945537,36.666666666666664,0.0,WEAK
BHEL,2026-05-26 03:35:06,45.63,48.23001208772233,3.1746031746031744,97.46287068270853,65.1693244945537,36.66666666666666,0.0,WEAK
BOSCHLTD,2026-05-26 03:35:11.145405+00:00,46.88,48.240804696943535,3.1746031746031744,99.9836308985176,67.76170281419124,40.27777777777778,0.0,WEAK
BOSCHLTD,2026-05-26 03:35:06,46.88,48.240804696943535,3.1746031746031744,99.9836308985176,67.76170281419124,40.27777777777778,0.0,WEAK
BPCL,2026-05-26 03:35:11.145405+00:00,47.92,48.23756691417717,3.1746031746031744,94.8639084716893,83.5070648985561,37.22222222222222,0.0,WEAK
BPCL,2026-05-26 03:35:06,47.92,48.23756691417717,3.1746031746031744,94.8639084716893,83.5070648985561,37.22222222222222,0.0,WEAK
BRITANNIA,2026-05-26 03:35:11.145405+00:00,46.97,48.24728026247625,3.1746031746031744,94.22936912032944,68.76043415550164,51.11111111111111,0.0,WEAK
BRITANNIA,2026-05-26 03:35:06,46.97,48.24728026247625,3.1746031746031744,94.22936912032944,68.76043415550164,51.11111111111111,0.0,WEAK
CANBK,2026-05-26 03:35:11.145405+00:00,25.26,39.86789846313245,3.1746031746031744,0.0,75.51606624701787,33.33333333333333,0.0,POOR
CANBK,2026-05-26 03:35:06,25.26,39.86789846313245,3.1746031746031744,0.0,75.51606624701787,33.33333333333333,0.0,POOR
CHOLAFIN,2026-05-26 03:35:11.145405+00:00,33.14,53.13525297876015,3.1746031746031744,50.38330603078347,41.3313756532754,29.444444444444446,0.0,POOR
CHOLAFIN,2026-05-26 03:35:06,33.14,53.13525297876015,3.1746031746031744,50.38330603078347,41.3313756532754,29.444444444444446,0.0,POOR
CIPLA,2026-05-26 03:35:11.145405+00:00,47.99,55.01640476601624,3.1746031746031744,99.89067659437193,67.50883369589475,35.0,0.0,WEAK
CIPLA,2026-05-26 03:35:06,47.99,55.01640476601624,3.1746031746031744,99.89067659437193,67.50883369589475,35.0,0.0,WEAK
COALINDIA,2026-05-26 03:35:11.145405+00:00,60.86,100.0,3.1746031746031744,99.45350346303483,75.72739545123073,39.72222222222222,0.0,AVERAGE
COALINDIA,2026-05-26 03:35:06,60.86,100.0,3.1746031746031744,99.45350346303483,75.72739545123073,39.72222222222222,0.0,AVERAGE
DABUR,2026-05-26 03:35:11.145405+00:00,46.86,48.24728026247625,3.1746031746031744,98.86275272265287,67.4363810263841,42.77777777777778,0.0,WEAK
DABUR,2026-05-26 03:35:06,46.86,48.24728026247625,3.1746031746031744,98.86275272265289,67.4363810263841,42.77777777777778,0.0,WEAK
DIVISLAB,2026-05-26 03:35:11.145405+00:00,47.0,48.25699361077534,3.1746031746031744,99.99607720836762,67.40319987549117,41.94444444444444,0.0,WEAK
DIVISLAB,2026-05-26 03:35:06,47.0,48.25699361077534,3.1746031746031744,99.99607720836762,67.40319987549117,41.94444444444444,0.0,WEAK
DLF,2026-05-26 03:35:11.145405+00:00,46.72,48.262389915385945,3.1746031746031744,99.28269470193061,67.41516324230871,40.55555555555556,0.0,WEAK
DLF,2026-05-26 03:35:06,46.72,48.262389915385945,3.1746031746031744,99.2826947019306,67.41516324230871,40.55555555555556,0.0,WEAK
DMART,2026-05-26 03:35:11.145405+00:00,45.49,48.23540839233293,3.1746031746031744,99.76185712892537,66.93261250467664,28.055555555555557,0.0,WEAK
DMART,2026-05-26 03:35:06,45.49,48.23540839233293,3.1746031746031744,99.76185712892536,66.93261250467664,28.05555555555556,0.0,WEAK
DRREDDY,2026-05-26 03:35:11.145405+00:00,45.69,48.25699361077534,3.1746031746031744,98.93822335720377,67.08474727815481,31.38888888888889,0.0,WEAK
DRREDDY,2026-05-26 03:35:06,45.69,48.25699361077534,3.1746031746031744,98.93822335720375,67.08474727815481,31.38888888888889,0.0,WEAK
