id,symbol,year,operating_activity,investing_activity,financing_activity,net_cash_flow,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,free_cash_flow,net_profit,cash_conversion_ratio,year_id
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0,Dec 2012,2012,Q4,False,False,20132,42.0,145,0.696551724137931,4
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,Mar 2014,2014,Q4,False,False,20143,0.0,198,0.0,8
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,Mar 2015,2015,Q4,False,False,20153,-1899.0,229,-0.15283842794759825,12
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,Mar 2016,2016,Q4,False,False,20163,728.0,255,6.0549019607843135,16
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,Mar 2017,2017,Q4,False,False,20173,459.0,277,7.902527075812275,19
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,Mar 2018,2018,Q4,False,False,20183,-994.0,401,5.4812967581047385,22
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,Mar 2019,2019,Q4,False,False,20193,-459.0,450,5.757777777777778,25
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,Mar 2020,2020,Q4,False,False,20203,-206.0,593,9.168634064080944,28
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,Mar 2021,2021,Q4,False,False,20213,-225.0,691,5.476121562952243,31
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,Mar 2022,2022,Q4,False,False,20223,161.0,799,5.127659574468085,34
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,Mar 2023,2023,Q4,False,False,20233,-922.0,949,3.9799789251844047,37
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,Mar 2024,2024,Q4,False,False,20243,1095.0,1201,5.027477102414655,40
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,Mar 2014,2014,Q4,False,False,20143,0.0,0,,8
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,Mar 2015,2015,Q4,False,False,20153,-1899.0,-7,5.0,12
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,Mar 2016,2016,Q4,False,False,20163,728.0,368,4.195652173913044,16
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0,Mar 2017,2017,Q4,False,False,20173,459.0,416,5.262019230769231,19
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0,Mar 2018,2018,Q4,False,False,20183,-994.0,1143,1.9230096237970253,22
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0,Mar 2019,2019,Q4,False,False,20193,-459.0,559,4.635062611806798,25
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0,Mar 2020,2020,Q4,False,False,20203,-206.0,706,7.701133144475921,28
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0,Mar 2021,2021,Q4,False,False,20213,-225.0,1290,2.933333333333333,31
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0,Mar 2022,2022,Q4,False,False,20223,161.0,1236,3.3147249190938513,34
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0,Mar 2023,2023,Q4,False,False,20233,-922.0,1281,2.9484777517564402,37
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0,Mar 2024,2024,Q4,False,False,20243,1095.0,1196,5.048494983277592,40
95,ADANIENT,Mar 2013,7666.0,-14790.0,7199.0,75.0,Mar 2013,2013,Q4,False,False,20133,-7124.0,1218,6.293924466338259,5
96,ADANIENT,Mar 2014,8228.0,-8007.0,-1109.0,-888.0,Mar 2014,2014,Q4,False,False,20143,221.0,2646,3.109599395313681,8
97,ADANIENT,Mar 2015,8532.0,-11465.0,3445.0,512.0,Mar 2015,2015,Q4,False,False,20153,-2933.0,2298,3.7127937336814623,12
98,ADANIENT,Mar 2016,5112.0,-1825.0,-3448.0,-161.0,Mar 2016,2016,Q4,False,False,20163,3287.0,1000,5.112,16
99,ADANIENT,Mar 2017,774.0,-1460.0,716.0,30.0,Mar 2017,2017,Q4,False,False,20173,-686.0,925,0.8367567567567568,19
100,ADANIENT,Mar 2018,2942.0,-7649.0,5120.0,413.0,Mar 2018,2018,Q4,False,False,20183,-4707.0,594,4.952861952861953,22
101,ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,-436.0,Mar 2019,2019,Q4,False,False,20193,5723.0,506,6.395256916996048,25
102,ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,1151.0,Mar 2020,2020,Q4,False,False,20203,1372.0,1040,2.3596153846153847,28
103,ADANIENT,Mar 2021,4043.0,-8611.0,3109.0,-1459.0,Mar 2021,2021,Q4,False,False,20213,-4568.0,1046,3.8652007648183555,31
104,ADANIENT,Mar 2022,1385.0,-17041.0,15901.0,246.0,Mar 2022,2022,Q4,False,False,20223,-15656.0,788,1.7576142131979695,34
105,ADANIENT,Mar 2023,17626.0,-15459.0,-1198.0,970.0,Mar 2023,2023,Q4,False,False,20233,2167.0,2422,7.277456647398844,37
106,ADANIENT,Mar 2024,10312.0,-18767.0,8879.0,424.0,Mar 2024,2024,Q4,False,False,20243,-8455.0,3335,3.0920539730134933,40
