year_id,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
1,Mar 2011,2011.0,Q4,False,False,20113.0
2,Sep 2011,2011.0,Q2,False,True,20119.0
3,Mar 2012,2012.0,Q4,False,False,20123.0
4,Dec 2012,2012.0,Q4,False,False,20132.0
5,Mar 2013,2013.0,Q4,False,False,20133.0
6,Jun 2013,2013.0,Q2,False,False,20136.0
7,Dec 2013,2013.0,Q4,False,False,20142.0
8,Mar 2014,2014.0,Q4,False,False,20143.0
9,Jun 2014,2014.0,Q2,False,False,20146.0
10,Sep 2014,2014.0,Q2,False,True,20149.0
11,Dec 2014,2014.0,Q4,False,False,20152.0
12,Mar 2015,2015.0,Q4,False,False,20153.0
13,Jun 2015,2015.0,Q2,False,False,20156.0
14,Sep 2015,2015.0,Q2,False,True,20159.0
15,Dec 2015,2015.0,Q4,False,False,20162.0
16,Mar 2016,2016.0,Q4,False,False,20163.0
17,Sep 2016,2016.0,Q2,False,True,20169.0
18,Dec 2016,2016.0,Q4,False,False,20172.0
19,Mar 2017,2017.0,Q4,False,False,20173.0
20,Sep 2017,2017.0,Q2,False,True,20179.0
21,Dec 2017,2017.0,Q4,False,False,20182.0
22,Mar 2018,2018.0,Q4,False,False,20183.0
23,Sep 2018,2018.0,Q2,False,True,20189.0
24,Dec 2018,2018.0,Q4,False,False,20192.0
25,Mar 2019,2019.0,Q4,False,False,20193.0
26,Sep 2019,2019.0,Q2,False,True,20199.0
27,Dec 2019,2019.0,Q4,False,False,20202.0
28,Mar 2020,2020.0,Q4,False,False,20203.0
29,Sep 2020,2020.0,Q2,False,True,20209.0
30,Dec 2020,2020.0,Q4,False,False,20212.0
31,Mar 2021,2021.0,Q4,False,False,20213.0
32,Sep 2021,2021.0,Q2,False,True,20219.0
33,Dec 2021,2021.0,Q4,False,False,20222.0
34,Mar 2022,2022.0,Q4,False,False,20223.0
35,Sep 2022,2022.0,Q2,False,True,20229.0
36,Dec 2022,2022.0,Q4,False,False,20232.0
37,Mar 2023,2023.0,Q4,False,False,20233.0
38,Sep 2023,2023.0,Q2,False,True,20239.0
39,Dec 2023,2023.0,Q4,False,False,20242.0
40,Mar 2024,2024.0,Q4,False,False,20243.0
41,Sep 2024,2024.0,Q2,False,True,20249.0
42,TTM,,TTM,True,False,999999.0
43,2013,,,False,False,
44,2014,,,False,False,
45,2015,,,False,False,
46,2016,,,False,False,
47,2017,,,False,False,
48,2018,,,False,False,
49,2019,,,False,False,
50,2020,,,False,False,
51,2021,,,False,False,
52,2022,,,False,False,
53,2023,,,False,False,
54,2024,,,False,False,
55,2024.5,,,False,False,
