symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
ABB,,47.63,48.25375582800898,3.1746031746031744,99.88538284687306,67.47390900924894,48.333333333333336,0.0,WEAK
ADANIENSOL,,43.13,48.25915213261958,3.1746031746031744,87.49682713588741,67.47392286755861,28.05555555555556,0.0,WEAK
ADANIENT,,42.23,48.239725436021416,3.1746031746031744,87.0879945578903,61.17576316783519,29.444444444444446,0.0,WEAK
ADANIGREEN,,35.63,48.312035917803485,3.1746031746031744,57.11591882396213,57.95218086234686,28.05555555555556,0.0,WEAK
ADANIPORTS,,45.6,48.28937143843896,3.1746031746031744,94.06100467529036,72.18952308966595,32.5,0.0,WEAK
ADANIPOWER,,46.36,48.26562769815231,3.1746031746031744,95.46755859270962,78.38737510661171,28.05555555555556,0.0,WEAK
AMBUJACEM,,45.5,48.24728026247625,3.1746031746031744,99.8959892640647,64.57679783056307,31.38888888888889,0.0,WEAK
APOLLOHOSP,,44.95,48.240804696943535,3.1746031746031744,93.39045387571632,67.00248512155572,35.27777777777778,0.0,WEAK
ASIANPAINT,,47.29,48.249438784320496,3.1746031746031744,99.0610902478746,69.09399847819832,44.16666666666666,0.0,WEAK
ATGL,,45.15,48.25375582800898,3.1746031746031744,97.4942592968334,66.88338933559812,29.166666666666668,0.0,WEAK
AXISBANK,,36.23,61.12610084614056,3.1746031746031744,44.515438581184725,57.15083339656773,28.33333333333333,0.0,WEAK
BAJAJ-AUTO,,46.73,48.24835952339838,3.1746031746031744,98.8612130287942,71.02575451846799,36.11111111111111,0.0,WEAK
BAJAJFINSV,,31.42,48.266706959074426,3.1746031746031744,68.62868337570983,14.238371775415606,28.61111111111111,0.0,POOR
BAJAJHLDNG,,46.23,48.32606630979105,3.1746031746031744,99.99471561973948,67.71736779481255,33.611111111111114,0.0,WEAK
BAJFINANCE,,38.39,69.79796235537904,3.1746031746031744,74.8772729896063,14.042126135514396,32.22222222222222,0.0,WEAK
BANKBARODA,,30.12,52.65390260749439,3.1746031746031744,18.31993185027104,61.76429000196119,33.88888888888889,0.0,POOR
BEL,,45.35,48.25375582800898,3.1746031746031744,94.23475719771474,65.91527990088466,39.16666666666666,0.0,WEAK
BHARTIARTL,,46.51,48.28289587290623,3.1746031746031744,82.58266476059244,85.0907647247703,45.27777777777778,0.0,WEAK
BHEL,,45.63,48.23001208772233,3.1746031746031744,97.46287068270853,65.1693244945537,36.66666666666666,0.0,WEAK
BOSCHLTD,,46.88,48.240804696943535,3.1746031746031744,99.9836308985176,67.76170281419124,40.27777777777778,0.0,WEAK
BPCL,,47.92,48.23756691417717,3.1746031746031744,94.8639084716893,83.5070648985561,37.22222222222222,0.0,WEAK
BRITANNIA,,46.97,48.24728026247625,3.1746031746031744,94.22936912032944,68.76043415550164,51.11111111111111,0.0,WEAK
CANBK,,25.26,39.86789846313245,3.1746031746031744,0.0,75.51606624701787,33.33333333333333,0.0,POOR
CHOLAFIN,,33.14,53.13525297876015,3.1746031746031744,50.38330603078347,41.3313756532754,29.444444444444446,0.0,POOR
CIPLA,,47.99,55.01640476601624,3.1746031746031744,99.89067659437193,67.50883369589475,35.0,0.0,WEAK
COALINDIA,,60.86,100.0,3.1746031746031744,99.45350346303483,75.72739545123073,39.72222222222222,0.0,AVERAGE
DABUR,,46.86,48.24728026247625,3.1746031746031744,98.86275272265289,67.4363810263841,42.77777777777778,0.0,WEAK
DIVISLAB,,47.0,48.25699361077534,3.1746031746031744,99.99607720836762,67.40319987549117,41.94444444444444,0.0,WEAK
DLF,,46.72,48.262389915385945,3.1746031746031744,99.2826947019306,67.41516324230871,40.55555555555556,0.0,WEAK
DMART,,45.49,48.23540839233293,3.1746031746031744,99.76185712892536,66.93261250467664,28.05555555555556,0.0,WEAK
DRREDDY,,45.69,48.25699361077534,3.1746031746031744,98.93822335720375,67.08474727815481,31.38888888888889,0.0,WEAK
EICHERMOT,,46.55,48.254835088931095,3.1746031746031744,99.85682327269734,67.33603940325736,37.77777777777778,0.0,WEAK
GAIL,,46.66,48.23864617509929,3.1746031746031744,98.4244279117572,69.62423624328603,38.333333333333336,0.0,WEAK
GODREJCP,,44.96,48.249438784320496,3.1746031746031744,97.88434064461742,65.84614028878723,28.05555555555556,0.0,WEAK
GRASIM,,40.21,48.249438784320496,3.1746031746031744,88.55124006370056,44.4398229001261,31.38888888888889,0.0,WEAK
HAL,,45.75,48.26131065446383,3.1746031746031744,95.97082870178454,67.94538670234562,36.66666666666666,0.0,WEAK
